,acc,err
0,7.000000000000001,1.5797977963089942
1,39.5,1.2527225113660097
2,41.5,1.2378936507180334
3,42.5,1.2297010795213281
4,45.5,1.1920733981207012
5,48.0,1.1617484748177231
6,49.0,1.071617833636701
7,49.5,1.082904562051408
8,52.5,1.0841023325547576
9,51.0,1.1584114236664027
10,51.5,1.1493153780279681
11,55.00000000000001,1.0812698512757197
12,54.0,1.118821425610222
13,52.5,1.0861926138435956
14,52.5,1.104510486117797
15,56.49999999999999,1.1566512143594445
16,59.0,1.0920152758975745
17,59.0,1.1796814225037815
18,59.0,1.1988431182398926
19,60.0,1.1110510240448639
20,59.0,1.2066156905412209
21,63.0,1.1392483584734145
22,60.5,1.2065633881292888
23,60.5,1.193528433053143
24,61.0,1.177327934378336
25,62.0,1.2565065686774324
26,61.0,1.2201146548613542
27,61.0,1.284288646067307
28,64.0,1.2093797218647888
29,60.0,1.314346734020728
30,61.0,1.343547628658862
31,63.5,1.228901726249742
32,64.5,1.271435692663008
33,61.5,1.3371929525220185
34,63.0,1.2958879820967741
35,63.0,1.3525953466860028
36,59.5,1.4090559109035894
37,64.5,1.35533534803134
38,65.0,1.2678934784489775
39,62.0,1.4723968847314064
40,65.0,1.2582732909371588
41,64.0,1.3784268780412368
42,64.0,1.4070042438536894
43,62.5,1.516585107100127
44,63.0,1.5099963937247776
45,64.0,1.4620454626273114
46,63.5,1.389225155311276
47,62.0,1.6047422593427245
48,65.0,1.4958748234282735
49,64.0,1.598496803291457
50,64.0,1.5047736575821296
51,63.0,1.3835969857984332
52,63.5,1.5947604880877475
53,64.0,1.6279452381683768
54,63.5,1.6114941091293593
55,64.5,1.5253256389473484
56,66.5,1.5036674920768758
57,65.0,1.5711502318759096
58,63.0,1.5313878923169313
59,65.0,1.6707373473890126
60,66.5,1.7314928855097407
61,66.0,1.7221815454052802
62,63.0,1.4015066675886965
63,67.5,1.7130319083492929
64,64.0,1.7160793169930348
65,66.5,1.6733380192013183
66,66.5,1.6351118722048386
67,66.5,1.6928327420025182
68,68.5,1.6866559951985707
69,68.5,1.9150695827533297
70,65.0,1.7020722715689032
71,65.5,1.5821354035254245
72,66.0,1.678899613655019
73,67.5,1.5709668153876188
74,65.5,1.686669630737277
75,68.5,1.6636454252228805
76,67.5,1.8076791608275422
77,67.5,1.8985255365956442
78,65.5,1.9023967042039323
79,69.0,1.6839629002438705
80,67.5,1.9051834999767217
81,67.0,1.759228811775149
82,68.0,1.858468776805633
83,66.0,1.6943045869466473
84,65.0,1.9526291238475186
85,64.5,1.664815664283999
86,68.5,1.8617075393214249
87,67.0,1.9003632568789839
88,62.0,1.7718982271691481
89,66.0,1.9296507943691608
90,67.0,1.7985789596844615
91,65.0,1.7333669675776469
92,64.5,1.8408896038813298
93,67.0,1.8005814874709336
94,68.0,1.8284936617923
95,67.0,1.8704948219163975
96,67.0,1.6543750552046494
97,65.5,1.8554736513711316
98,69.0,1.6150746833309495
99,67.5,1.511688744813453
