,acc,err
0,15.0,1.4461394384503365
1,43.0,1.185302778482437
2,43.5,1.4374593412689864
3,43.5,1.2415217102319003
4,45.5,1.1967558451928197
5,50.5,1.2216833568317815
6,49.0,1.121667907377705
7,47.0,1.1636778947478161
8,47.0,1.1916355870524422
9,50.5,1.3389788269693963
10,53.0,1.2177427544805688
11,47.0,1.1907611077511684
12,53.5,1.2428262731072026
13,52.5,1.2816362728865351
14,54.0,1.179155621942773
15,53.5,1.1708392955205635
16,54.50000000000001,1.2268687724205665
17,56.99999999999999,1.2534462620818523
18,58.5,1.2190795272635295
19,52.5,1.3180156153274583
20,55.50000000000001,1.309142986057559
21,55.50000000000001,1.2038085712195608
22,55.50000000000001,1.2642226348724217
23,55.50000000000001,1.3006644408982537
24,57.49999999999999,1.305909074258234
25,61.0,1.2964115804895846
26,61.5,1.4174262374716635
27,63.0,1.3466332810535824
28,60.0,1.1254949643298096
29,61.0,1.273742946790735
30,57.99999999999999,1.2694525791060733
31,62.5,1.3688382603447826
32,60.5,1.427771444836835
33,59.0,1.4115905251478398
34,59.0,1.3740644695103765
35,60.5,1.5472915802142961
36,57.49999999999999,1.3979282992792286
37,63.5,1.360680614175435
38,63.5,1.5193656531946909
39,56.99999999999999,1.4545380680575
40,61.5,1.5392888796835542
41,65.0,1.4648136169448662
42,64.0,1.4343450750072133
43,61.5,1.434489423531595
44,61.5,1.4210846484658213
45,64.5,1.4047197968454201
46,61.5,1.4900906152904463
47,61.5,1.4016293229559416
48,63.5,1.6497287415561777
49,62.5,1.3982505163664973
50,62.5,1.3647563443206854
51,60.0,1.647395733238991
52,59.5,1.41259822325291
53,61.0,1.5888720395601559
54,63.0,1.5265042828378137
55,63.5,1.751606969207678
56,60.5,1.6959687544786175
57,62.0,1.7097220751916757
58,63.5,1.6699993164597435
59,61.0,1.578414602512803
60,61.5,1.6450714683158594
61,61.5,1.656387343485767
62,61.5,1.7055007385365526
63,63.0,1.9754876014980618
64,60.5,1.7762370791597186
65,62.5,2.001649292421398
66,61.0,1.7197553777889403
67,63.0,2.005963969370373
68,63.0,1.7881592900506484
69,60.0,1.961667961496023
70,63.0,1.772528077411862
71,60.0,1.8700472089612823
72,63.0,1.897675474474638
73,60.0,1.7949097275015493
74,63.5,1.6979177318140888
75,64.0,1.8049858645316623
76,65.0,1.6670031440218156
77,61.0,1.6637379960529914
78,62.5,1.6331338025537299
79,63.5,1.7881877055296354
80,63.0,1.6725943568292558
81,60.5,1.8716431116714785
82,60.5,1.9230763168504381
83,61.0,1.8010784342333368
84,59.0,1.8301500182560877
85,61.0,1.849915793723843
86,61.5,1.9084604103888432
87,59.5,1.9620866106357022
88,62.0,1.830861999308015
89,61.5,1.847758401054295
90,61.5,1.7680701753540529
91,64.0,1.7461411576274843
92,61.0,1.81160145518043
93,62.5,1.8033720204656418
94,63.5,1.8508908319240038
95,62.5,1.7762662152449105
96,65.0,1.8589891516484442
97,62.5,1.9887604834502042
98,61.0,1.989643586782438
99,62.0,1.7888236679774037
